"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
3,40,3,"simulated",1,TRUE,"sim_1058"
4,32,3,"simulated",3,TRUE,"sim_1059"
3,35,2,"simulated",1,TRUE,"sim_1060"
4,45,8,"simulated",8,FALSE,"sim_1061"
3,14,2,"simulated",1,TRUE,"sim_1063"
22,138,58,"simulated",58,FALSE,"sim_1064"
4,43,3,"simulated",3,TRUE,"sim_1066"
7,52,18,"simulated",17,FALSE,"sim_1067"
15,123,47,"simulated",47,FALSE,"sim_1068"
3,19,1,"simulated",1,TRUE,"sim_1070"
4,36,3,"simulated",2,TRUE,"sim_1071"
5,56,9,"simulated",9,TRUE,"sim_1072"
3,16,1,"simulated",1,TRUE,"sim_1075"
3,14,1,"simulated",1,TRUE,"sim_1076"
8,60,19,"simulated",19,FALSE,"sim_1077"
42,185,128,"simulated",128,FALSE,"sim_1079"
3,19,1,"simulated",1,TRUE,"sim_1081"
3,21,1,"simulated",1,TRUE,"sim_1082"
3,25,2,"simulated",2,FALSE,"sim_1083"
3,35,2,"simulated",1,TRUE,"sim_1085"
5,46,8,"simulated",8,TRUE,"sim_1086"
3,28,1,"simulated",1,TRUE,"sim_1087"
3,6,1,"simulated",1,TRUE,"sim_1088"
4,51,8,"simulated",8,FALSE,"sim_1089"
5,40,8,"simulated",8,FALSE,"sim_1090"
3,34,2,"simulated",2,TRUE,"sim_1091"
3,34,1,"simulated",1,TRUE,"sim_1092"
3,17,2,"simulated",2,TRUE,"sim_1093"
11,94,25,"simulated",25,FALSE,"sim_1094"
4,56,7,"simulated",7,FALSE,"sim_1095"
3,5,1,"simulated",1,TRUE,"sim_1097"
3,16,2,"simulated",1,TRUE,"sim_1098"
5,42,9,"simulated",8,FALSE,"sim_1099"
11,105,30,"simulated",30,FALSE,"sim_1100"
4,27,5,"simulated",5,FALSE,"sim_1101"
8,79,19,"simulated",19,FALSE,"sim_1103"
5,41,8,"simulated",8,FALSE,"sim_1105"
5,49,10,"simulated",10,FALSE,"sim_1106"
3,17,1,"simulated",1,TRUE,"sim_1108"
5,63,10,"simulated",10,FALSE,"sim_1110"
3,24,2,"simulated",2,FALSE,"sim_1111"
3,14,1,"simulated",1,TRUE,"sim_1112"
5,35,5,"simulated",5,TRUE,"sim_1113"
4,34,3,"simulated",3,TRUE,"sim_1114"
5,39,6,"simulated",6,FALSE,"sim_1115"
3,17,1,"simulated",1,TRUE,"sim_1116"
19,124,52,"simulated",52,FALSE,"sim_1117"
3,14,2,"simulated",2,TRUE,"sim_1119"
3,15,2,"simulated",1,TRUE,"sim_1121"
11,87,26,"simulated",26,FALSE,"sim_1122"
6,53,12,"simulated",12,FALSE,"sim_1124"
12,94,31,"simulated",31,FALSE,"sim_1125"
3,26,1,"simulated",1,TRUE,"sim_1126"
3,27,2,"simulated",2,TRUE,"sim_1130"
7,77,19,"simulated",17,FALSE,"sim_1133"
3,27,2,"simulated",2,TRUE,"sim_1135"
30,179,85,"simulated",85,FALSE,"sim_1136"
3,22,2,"simulated",2,TRUE,"sim_1137"
3,33,2,"simulated",2,TRUE,"sim_1138"
4,26,6,"simulated",4,FALSE,"sim_1141"
16,113,40,"simulated",39,FALSE,"sim_1142"
3,21,1,"simulated",1,TRUE,"sim_1143"
4,53,5,"simulated",5,TRUE,"sim_1144"
16,117,47,"simulated",47,FALSE,"sim_1145"
3,29,3,"simulated",2,TRUE,"sim_1146"
4,39,3,"simulated",3,TRUE,"sim_1148"
3,28,2,"simulated",2,TRUE,"sim_1150"
10,73,27,"simulated",27,FALSE,"sim_1152"
5,50,8,"simulated",8,TRUE,"sim_1154"
7,61,10,"simulated",10,FALSE,"sim_1155"
3,21,1,"simulated",1,TRUE,"sim_1156"
5,54,11,"simulated",11,FALSE,"sim_1157"
3,12,1,"simulated",1,TRUE,"sim_1158"
3,23,1,"simulated",1,TRUE,"sim_1159"
4,46,4,"simulated",4,TRUE,"sim_1161"
3,17,1,"simulated",1,TRUE,"sim_1162"
3,15,4,"simulated",2,FALSE,"sim_1163"
4,55,8,"simulated",8,FALSE,"sim_1164"
4,27,4,"simulated",4,FALSE,"sim_1165"
3,22,1,"simulated",1,TRUE,"sim_1169"
3,20,1,"simulated",1,TRUE,"sim_1170"
4,35,8,"simulated",8,TRUE,"sim_1171"
3,15,2,"simulated",2,FALSE,"sim_1172"
3,21,2,"simulated",2,FALSE,"sim_1173"
3,38,3,"simulated",2,TRUE,"sim_1174"
3,31,3,"simulated",1,TRUE,"sim_1176"
4,25,4,"simulated",4,TRUE,"sim_1177"
3,32,3,"simulated",2,TRUE,"sim_1179"
7,59,12,"simulated",12,FALSE,"sim_1180"
36,189,95,"simulated",95,FALSE,"sim_1181"
7,61,15,"simulated",15,FALSE,"sim_1182"
3,36,2,"simulated",2,TRUE,"sim_1183"
14,96,35,"simulated",35,FALSE,"sim_1184"
7,75,17,"simulated",17,FALSE,"sim_1185"
3,13,1,"simulated",1,TRUE,"sim_1187"
4,31,6,"simulated",6,FALSE,"sim_1188"
3,16,1,"simulated",1,TRUE,"sim_1190"
5,41,5,"simulated",5,TRUE,"sim_1191"
4,16,2,"simulated",2,TRUE,"sim_1192"
5,97,16,"simulated",16,FALSE,"sim_1193"
27,158,68,"simulated",68,FALSE,"sim_1194"
6,64,10,"simulated",10,FALSE,"sim_1195"
9,78,22,"simulated",21,FALSE,"sim_1196"
10,95,27,"simulated",27,FALSE,"sim_1197"
5,54,11,"simulated",11,FALSE,"sim_1198"
5,43,9,"simulated",8,FALSE,"sim_1199"
3,9,2,"simulated",2,TRUE,"sim_1200"
15,120,35,"simulated",35,FALSE,"sim_1201"
4,48,3,"simulated",3,FALSE,"sim_1202"
3,26,1,"simulated",1,TRUE,"sim_1204"
22,130,59,"simulated",59,FALSE,"sim_1206"
3,24,2,"simulated",2,TRUE,"sim_1207"
3,32,2,"simulated",2,TRUE,"sim_1208"
11,124,40,"simulated",40,FALSE,"sim_1209"
6,77,12,"simulated",12,TRUE,"sim_1210"
3,22,1,"simulated",1,TRUE,"sim_1212"
4,10,2,"simulated",2,FALSE,"sim_1214"
6,42,9,"simulated",9,FALSE,"sim_1215"
15,120,36,"simulated",36,FALSE,"sim_1218"
6,66,13,"simulated",13,TRUE,"sim_1220"
5,52,12,"simulated",11,FALSE,"sim_1221"
3,14,2,"simulated",1,FALSE,"sim_1222"
6,58,14,"simulated",14,FALSE,"sim_1223"
7,72,16,"simulated",16,FALSE,"sim_1224"
5,43,12,"simulated",12,FALSE,"sim_1225"
93,333,233,"simulated",233,FALSE,"sim_1226"
3,31,2,"simulated",2,TRUE,"sim_1228"
4,30,5,"simulated",4,TRUE,"sim_1229"
5,43,5,"simulated",5,FALSE,"sim_1230"
3,28,4,"simulated",4,TRUE,"sim_1231"
3,31,3,"simulated",1,TRUE,"sim_1232"
13,88,34,"simulated",34,FALSE,"sim_1233"
16,122,46,"simulated",46,FALSE,"sim_1236"
3,30,3,"simulated",2,TRUE,"sim_1237"
3,17,1,"simulated",1,TRUE,"sim_1238"
3,21,1,"simulated",1,TRUE,"sim_1239"
5,51,7,"simulated",7,TRUE,"sim_1240"
6,63,12,"simulated",12,FALSE,"sim_1241"
3,21,1,"simulated",1,TRUE,"sim_1244"
3,18,2,"simulated",1,TRUE,"sim_1245"
33,184,86,"simulated",86,FALSE,"sim_1246"
3,34,1,"simulated",1,TRUE,"sim_1247"
80,331,225,"simulated",225,FALSE,"sim_1248"
6,42,8,"simulated",8,FALSE,"sim_1249"
