posvar,posmean,norm,fenergy
146529.0432552152,22404.291723118982,-5.860542938021931e199,-26655.267375941712
149132.6762739214,38214.995888094476,-7.511106251086424e204,-15946.898448935774
151533.44069375753,51648.79884216088,-9.6265342156424e209,-24994.263453336658
153749.86695121476,59383.71594115137,-1.2337751312135931e215,-69348.25118233859
155809.9789766231,58276.112086107845,-1.5812555591685911e220,-144597.23831146612
157692.85895147116,45389.0479544732,-2.0266003748528358e225,-219448.16676294344
159412.91233438932,19510.733903411077,-2.5973721044263906e230,-249435.46839655624
160979.220814113,-18046.63030626017,-3.3288959839170417e235,-210274.11076021125
162409.9353403684,-63200.03974336006,-4.266446248827439e240,-132361.5392900608
163707.59324621348,-108697.89912935082,-5.4680481703471925e245,-106496.0135253576
164886.78423270988,-145200.72193084308,-7.008069257043779e250,-241166.9615279507
165954.20285458883,-162776.10147728756,-8.981821882597603e255,-581835.8595103911
166923.76631751098,-152801.0881522862,-1.1511462197612402e261,-1.0407996224677329e6
167802.02879501844,-109597.0495937384,-1.4753550410947956e266,-1.4020367931367133e6
168598.30966408522,-32547.89352988498,-1.8908740348687356e271,-1.438417328552817e6
169318.24766660712,72430.64395577523,-2.4234197980491695e276,-1.1055551172693786e6
169970.64119211867,192493.67701490404,-3.1059517499717374e281,-693642.9459663519
170561.18616930372,307883.191709005,-3.9807120008337806e286,-787684.6410533724
171095.74701971427,394040.6326866781,-5.101839728748614e291,-1.9588782559426064e6
171578.86284377024,425094.0130152456,-6.538721869953364e296,-4.290493989908746e6
172015.8977263903,378556.15038199484,-8.380287497407011e301,-7.041435039696917e6
172410.9528596035,241762.7353220063,-1.0740511668176728e307,-8.81672276968419e6
172768.0360799645,17023.86432543435,NaN,-8.409967818130752e6
173090.5228343886,-274481.1982064279,NaN,-6.011122001865864e6
173381.8257649677,-591376.5393794734,NaN,-3.9690597296067555e6
173644.86509234,-875432.2573317292,NaN,-6.176656906974576e6
173882.36690669943,-1.0589519464540563e6,NaN,-1.5754126892214248e7
174096.70747171968,-1.0762600856670563e6,NaN,-3.198725752234031e7
174290.13867467854,-877919.1768194346,NaN,-4.873616704609506e7
174464.67944767445,-445321.50284088607,NaN,-5.66568623641746e7
174622.162479442,196920.2187670799,NaN,-4.9705466953328066e7
174764.2190318686,974216.9799992207,NaN,-3.2910886017167225e7
174892.34940058022,1.7638851696323445e6,NaN,-2.5359229801655624e7
175007.91242739186,2.4074173977085454e6,NaN,-5.2738245513589e7
175112.1336888935,2.7334284251531223e6,NaN,-1.2950792208649574e8
175206.11608062632,2.5894215682069957e6,NaN,-2.4005593507726574e8
175290.85806835257,1.8784420695445705e6,NaN,-3.350215661143568e8
175367.26570016114,593481.4968460787,NaN,-3.5562730967930216e8
175436.15536777422,-1.1573295739500993e6,NaN,-2.819534059488015e8
175498.26371905985,-3.1422078972192104e6,NaN,-1.7724890551282352e8
175554.2543620051,-5.020424835323703e6,NaN,-1.8658238760798815e8
175604.72892553784,-6.382466512563844e6,NaN,-4.629682477702241e8
175650.2293935844,-6.8146934752942715e6,NaN,-1.042007624622131e9
175691.24484383818,-5.981705378360923e6,NaN,-1.7447933135820355e9
175728.21560295415,-3.714279924828102e6,NaN,-2.212827392997701e9
175761.54004409013,-87690.45422671987,NaN,-2.1254130907968004e9
175791.57709339727,4.528376671920633e6,NaN,-1.519525349150523e9
175818.65061717606,9.465863785732899e6,NaN,-9.929331009752418e8
175843.0522902274,1.3812917978600133e7,NaN,-1.541068081832831e9
175865.04551111572,1.653231931512346e7,NaN,-3.949632589907095e9
175884.8676678816,1.663691056908258e7,NaN,-8.009361367165674e9
175902.73288909145,1.3402349575885171e7,NaN,-1.2138257545563543e10
175918.83409582303,6.584264453227535e6,NaN,-1.3993972649425798e10
175933.34532220798,-3.402926121535737e6,NaN,-1.2142747538919468e10
175946.42342855525,-1.5391823147402268e7,NaN,-7.963906381456826e9
175958.2098712313,-2.7494675468740713e7,NaN,-6.264600619988308e9
175968.83210761045,-3.729062362699274e7,NaN,-1.3287207197920189e10
175978.40506460244,-4.2171837327827655e7,NaN,-3.2282114584003426e10
175987.03233142948,-3.982149922650891e7,NaN,-5.906297719470124e10
